person_name,total
Neuci,3388
Nicoly,4358
Noemi,18822
Odila,6781
Odilia,3050
Oliveira,2668
Onofre,7759
Osana,2989
Osias,2119
Otoniel,3097
Ozana,1605
Patrik,7617
Paulino,8441
Pietra,10197
Plinio,9726
Rayssa,15196
Richard,43499
Rinaldo,11514
Riquelme,7418
Robsom,4025
Ronilson,9606
Ronivon,1680
Rony,3221
Rosely,4835
Rosenir,2204
Rozangela,1994
Rozeli,750
Ruthe,2987
Ryan,26139
Samela,2550
Sandy,4818
Sarah,28992
Selso,1007
Simao,4918
Sinval,6064
Tales,25988
Tayna,9285
Thaisa,6367
Thays,7070
Uanderson,3909
Uilson,3886
Valcir,6373
Valdevino,3817
Vani,4701
Vanilza,1481
Vitalina,3168
Viviana,3503
Wallas,999
Wallison,2795
Welison,3209
Welitom,1072
Wesle,375
Weslley,5171
Wilhan,2305
Wilton,16195
Yara,18723
Zacarias,5295
Zaquel,1330
Zaqueu,2065
Zeni,4960
Dionata,2391
Joze,5955
Rai,11402
Cidinei,792
Keven,7392
Ariele,7204
Deisiane,6065
Abdias,1872
Abelardo,2472
Abigail,5958
Abilio,6931
Abimael,3131
Abmael,987
Acacio,3468
Acassio,1184
Ada,2725
Adailson,6530
Adalgisa,5103
Adalmir,284
Adalton,2855
Adam,1246
Adan,1059
Adelmo,8893
Ademilton,2425
Aderaldo,1229
Aderson,2164
Adevaldo,2309
Adiel,1943
Adina,665
Adison,1823
Admir,1735
Adna,3275
Adonai,777
Adreia,1726
Adria,8158
Adrielle,3474
Adriely,1947
Adriene,3596
Adroaldo,2200
Adson,7690
Aelson,1320
Afranio,3379
Agatha,10091
Agda,5713
Agemiro,868
Aghata,1374
Agnes,4790
Agripino,1133
Aguida,1005
Aida,6404
Aila,5342
Aime,462
Aislan,1304
Alaine,1090
Alam,3250
Alane,6784
Alba,10863
Alberico,1922
Albertino,3701
Albino,8139
Alcemir,1210
Alceu,12788
Alcicleia,101
Alciene,595
Alcileia,613
Alcimar,4325
Alcina,3056
Alcinei,786
Alcineia,2281
Alcineide,668
Alcir,5282
Aldacir,332
Aldeci,1927
Aldecir,1269
Aldeir,1617
Aldemar,1512
Aldeni,714
Aldenice,2964
Aldenira,1401
Aldeniza,360
Aldenor,2271
Aldenora,6795
Aldilene,1114
Aldinei,523
Aldineia,1147
Aleandro,855
Alecio,2587
Alecsander,394
Alecsandra,860
Alecsandro,2287
Alef,8004
Alefe,1298
Alencar,2585
Alesson,754
Alexadre,1420
Alexander,15978
Alexandrina,4191
Alexsander,7609
Alexssandro,3955
Aliane,886
Alici,290
Alif,488
Alife,968
Alini,1006
Alipio,2693
Alisom,1032
Almerindo,1446
Almira,5216
Almiro,3930
Aloisio,18024
Altamir,5020
Altamira,1970
Altemar,935
Altemir,1467
Altina,1616
Altino,2680
Aluisio,11881
Aluizio,8093
Alysson,2932
Alzenir,3074
Alzenira,1372
Alzerina,406
Amada,1035
Amadeus,1422
Amancio,733
Amaral,420
Amaro,28446
Amazonina,130
Amos,1277
Anacleto,1087
Ananda,8043
Anastacio,2722
Ancelmo,3697
Andersson,1178
Andeson,3495
Andreilson,127
Andreina,1931
Andreo,590
Andres,1083
Andreson,1450
Andrew,6087
Andrews,974
Andria,2209
Andriana,434
Andrio,1284
Anete,2803
Angel,1784
Anibal,4295
Aniele,2490
Anildo,2117
Anilson,860
Anizia,1207
